Rank,Name,ADP_Min,ADP_Max,Games,TOTAL,AST,FT,PTS,Threes,STL,BLK,FG,REB,TO,PG,SG,SF,PF,C
147,jaxson hayes,NA,NA,68,-0.3,-1.1,-0.4,-1.2,-1.4,-1.4,0.4,1.3,-0.4,1.1,No,No,No,No,Yes
147,jeff green,NA,NA,73,-0.3,-0.9,0,-0.8,-0.1,-1.2,-0.5,0.1,-0.8,1.1,No,No,No,Yes,No
148,javale mcgee,NA,NA,62,-0.4,-1.1,-0.7,-1.2,-1.3,-1.3,1,0.7,-0.2,0.9,No,No,No,No,Yes
149,cole anthony,138.2,141.9,73,-0.4,0.4,0.4,-0.1,0,-0.6,-0.5,-1.3,-0.5,-1,Yes,No,No,No,No
149,luguentz dort,138,139.4,71,-0.4,-0.7,-0.5,-0.1,0.7,0.1,-0.5,-1.7,-0.8,0.3,No,Yes,Yes,No,No
149,rudy gay,NA,NA,69,-0.4,-0.8,0.1,-0.8,-0.2,-0.9,-0.3,-0.5,-0.5,0.7,No,No,No,Yes,No
150,cody zeller,NA,NA,68,-0.4,-0.8,-0.6,-1,-1.3,-1.1,-0.5,0.9,0.2,0.9,No,No,No,No,Yes
150,james wiseman,136.6,138.3,60,-0.4,-0.9,-1.1,-0.4,-1.1,-1.5,0.7,0.6,0.2,0.2,No,No,No,No,Yes
151,paul millsap,NA,NA,59,-0.4,-0.8,0.1,-1,-0.8,-0.8,-0.4,0.1,-0.7,0.9,No,No,No,Yes,Yes
152,aleksej pokusevski,NA,NA,70,-0.4,-0.3,-0.2,-0.6,0.1,-1.2,0.8,-1.2,-0,-0.9,No,No,No,Yes,No
153,dewayne dedmon,NA,NA,68,-0.4,-1.1,-0,-1.4,-1.1,-1,0.1,0.4,-0.4,1,No,No,No,No,Yes
154,goga bitadze,NA,NA,54,-0.4,-0.9,-0.2,-1.2,-0.9,-1.6,0.8,0.1,-0.9,1.2,No,No,No,No,Yes
155,tomas satoransky,NA,NA,71,-0.4,0.4,0.3,-1.3,-0.9,-0.3,-1.1,0.2,-1.2,0.2,Yes,Yes,No,No,No
156,alex len,NA,NA,54,-0.4,-0.9,-0.7,-1.1,-1.1,-1.4,0.2,0.6,-0.4,1,No,No,No,No,Yes
157,kenrich williams,NA,NA,68,-0.4,-0.6,-0.8,-1.3,-0.7,-0.1,-0.6,0.1,-0.6,0.7,No,No,Yes,No,No
157,p j  tucker,NA,NA,77,-0.4,-1,-0.1,-1.8,-0.7,-0.1,-0.6,-0.5,-0.3,1.2,No,No,Yes,Yes,No
158,carmelo anthony,131,133.5,72,-0.4,-1,0.4,-0.8,-0.2,-1.2,-0.6,-0.7,-0.8,0.9,No,No,Yes,Yes,No
158,killian hayes,127.6,145.9,70,-0.4,1.3,0.3,-0.7,-0.6,0.8,-0.4,-1.7,-1,-2,Yes,No,No,No,No
158,mike muscala,NA,NA,52,-0.4,-0.9,0.1,-1,-0.3,-1.5,-0.5,-0.2,-0.8,1.1,No,No,No,Yes,Yes
159,jamychal green,NA,NA,73,-0.5,-1.2,-0,-1.3,-0.3,-1.5,-0.5,-0.1,-0.3,1.1,No,No,No,Yes,Yes
159,tony bradley,NA,NA,69,-0.5,-1.2,-0.4,-1.4,-1.5,-1.8,0.1,0.9,-0,1.2,No,No,No,No,Yes
160,gorgui dieng,NA,NA,56,-0.5,-0.9,0,-1.3,-0.8,-0.9,-0.5,0.2,-0.9,1,No,No,No,Yes,Yes
161,luke kennard,NA,NA,68,-0.5,-0.6,0.1,-0.9,0.1,-1.7,-1,-0.1,-1.1,1,No,Yes,No,No,No
161,patty mills,NA,NA,76,-0.5,-0.6,0.4,-0.9,0.8,-1.2,-1.2,-0.8,-1.8,1.1,Yes,No,No,No,No
162,dwight howard,132.9,137.5,74,-0.6,-1.1,-2.9,-1.3,-1.6,-1.6,0.6,1.4,1.2,0.1,No,No,No,No,Yes
