name,positions,GP,MIN,FG%,FT%,3PM,REB,AST,A/TO,STL,BLK,TO,PTS
LaMelo Ball,['PG'],74,33.2,.442,.781,2.3,6.8,7.5,2.34,1.8,0.4,3.2,19.9
Jimmy Butler,"['SF', 'SG']",73,33.8,.479,.851,0.7,6.6,6.3,3.15,1.9,0.4,2.0,20.7
Shai Gilgeous-Alexander,"['SG', 'PG']",72,35.3,.505,.807,2.2,5.3,6.6,2.13,0.8,0.7,3.1,25.1
Dejounte Murray,"['PG', 'SG']",76,33.9,.461,.795,1.2,7.6,6.1,3.05,1.8,0.2,2.0,18.8
Bam Adebayo,"['C', 'PF']",77,33.7,.569,.760,0.2,9.6,5.0,1.93,1.2,1.1,2.6,17.3
Jrue Holiday,"['PG', 'SG']",74,34.6,.481,.753,2.0,4.8,6.8,2.62,1.7,0.7,2.6,19.3
Michael Porter Jr.,"['SF', 'PF']",70,34.7,.542,.792,3.5,8.1,1.3,0.93,0.7,1.0,1.4,25.1
Chris Paul,['PG'],74,31.6,.486,.913,1.6,4.6,8.2,3.57,1.5,0.2,2.3,16.6
Russell Westbrook,['PG'],71,32.6,.446,.686,1.2,8.1,8.4,2.00,1.4,0.3,4.2,21.3
Clint Capela,['C'],74,30.6,.600,.571,0.0,14.2,0.9,0.75,0.7,2.0,1.2,15.1
Deandre Ayton,['C'],76,32.8,.601,.792,0.1,11.3,1.7,0.94,0.7,1.3,1.8,17.9
Tobias Harris,"['SF', 'PF']",78,32.7,.509,.887,1.4,6.8,3.5,2.05,0.9,0.8,1.7,19.6
Devin Booker,"['SG', 'PG']",76,35.2,.483,.883,2.0,4.2,5.4,1.54,0.8,0.2,3.5,26.3
Khris Middleton,"['SF', 'SG']",78,32.9,.476,.890,2.3,6.2,5.0,2.00,1.1,0.1,2.5,20.7
Christian Wood,"['C', 'PF']",71,33.9,.517,.638,1.9,10.1,1.8,0.90,0.9,1.2,2.0,21.9
Jaylen Brown,"['SG', 'SF']",71,34.6,.484,.762,2.8,6.0,3.2,1.18,1.2,0.5,2.7,25.8
Ben Simmons,['PG'],76,33.7,.566,.642,0.2,7.7,7.4,2.31,1.7,0.6,3.2,15.8
Lonzo Ball,['PG'],71,32.4,.421,.753,3.1,5.9,7.7,3.22,1.5,0.6,2.4,14.7
Zach LaVine,['SG'],73,33.4,.499,.842,3.2,4.7,4.6,1.39,0.8,0.4,3.3,24.5
Ja Morant,['PG'],74,33.6,.471,.759,1.5,4.1,7.7,2.26,1.0,0.2,3.4,22.0
Brandon Ingram,"['SF', 'PF']",75,34.2,.469,.843,2.1,5.3,4.4,1.63,0.8,0.6,2.7,23.2
Caris LeVert,"['SG', 'SF']",71,33.8,.440,.804,1.9,4.8,5.5,2.30,1.5,0.6,2.4,21.4
CJ McCollum,['SG'],73,34.7,.457,.794,3.1,4.0,4.3,2.68,0.8,0.5,1.6,22.6
DeMar DeRozan,"['SG', 'SF']",78,33.2,.501,.862,0.2,4.8,4.6,2.19,1.0,0.3,2.1,21.1
Collin Sexton,"['SG', 'PG']",76,35.3,.477,.824,1.8,3.1,4.3,1.54,1.0,0.2,2.8,25.3
Montrezl Harrell,"['C', 'PF']",78,29.8,.607,.677,0.0,7.8,1.7,1.06,0.8,1.1,1.6,18.6
Terry Rozier,"['PG', 'SG']",76,34.2,.446,.827,3.1,4.4,4.2,2.22,1.2,0.4,1.9,19.7
Jusuf Nurkic,['C'],68,29.8,.512,.716,0.2,11.3,3.8,1.52,1.2,1.5,2.5,15.8
Pascal Siakam,['PF'],64,36.1,.461,.812,1.9,7.4,4.1,1.70,1.1,0.8,2.4,24.4
Draymond Green,['PF'],73,31.9,.443,.745,0.7,7.3,8.8,3.15,1.6,1.0,2.8,7.5
